Title,Reference,Company,Experience,Salary,Location,Job Description,Skills Required,Posted Date,Duration
Software Engineer - Trainee M-Tech Freshers,https://www.naukri.com/job-listings-software-engineer-trainee-m-tech-freshers-mantra-technologies-hyderabad-secunderabad-0-to-2-years-070623009650,Mantra Technologies,0-2 Yrs,3-6 Lacs PA,Hyderabad/Secunderabad,M Tech Graduates only (2021 & 2022 passed - 70% aggregate) Showcase good analytical & e...,"['Angularjs', 'Vue.Js', 'UI', 'Javascript', 'React.Js', 'Application Programming', 'Analytical Skills', 'Saas Applications']",3 Days Ago,N/A
Data Entry Operator-whitefield,https://www.naukri.com/job-listings-data-entry-operator-whitefield-2coms-bangalore-bengaluru-bangalore-south-0-to-5-years-020923903336,2coms,0-5 Yrs,"50,000-2 Lacs PA","Bangalore/Bengaluru, Bangalore South",-should have basic knowledge to enter phonenumbers in the system. -ready to work in nig...,"['Data Enrty', 'Data', 'Data entry']",1 Day Ago,N/A
Applications Engineer,https://www.naukri.com/job-listings-applications-engineer-infineon-technologies-pvt-ltd-bangalore-bengaluru-0-to-1-years-020923500928,Infineon,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,Experience with product certification (EMI\/EMC) and device validation isa plusGood art...,"['EMI', 'Analog', 'Circuit designing', 'Mixed signal', 'Customer interfacing', 'Debugging', 'EMC', 'Firmware']",1 Day Ago,N/A
Associate - Pricing intelligence,https://www.naukri.com/job-listings-associate-pricing-intelligence-avantor-coimbatore-tamil-nadu-0-to-5-years-010923005641,Avantor,0-5 Yrs,2-4.5 Lacs PA,"Coimbatore, Tamil Nadu","What Avantor looking for Education: Bachelor's or master's degree in data science, Comp...","['Insights', 'Data Analysis', 'Data Visualization', 'Pricing intelligence', 'Data Analytics', 'R', 'power bi', 'Dashboards']",2 Days Ago,N/A
Walk in MTech Chemical or B.Tech Chemical + MBA Freshers @ GlobalData,https://www.naukri.com/job-listings-walk-in-mtech-chemical-or-b-tech-chemical-mba-freshers-globaldata-globaldata-hyderabad-secunderabad-telangana-0-to-2-years-310823004058,Globaldata,N/A,3-3.75 Lacs PA,"Hyderabad/ Secunderabad, Telangana","Shift: Day Shift . Cab: No Good Working knowledge of Microsoft Word, Excel, and Outlook...","['petrochemical', 'MTech Chemical', 'Excel', 'Chemical']",3 Days Ago,N/A
Production and Quality Engineer,https://www.naukri.com/job-listings-production-and-quality-engineer-hr-h1-solution-chennai-0-to-5-years-030923002108,HR H1 Solution,0-5 Yrs,Not disclosed,Remote,Urgent requirement for immediate joiningB.E /ITI/DIPLOMA /AND ANY DEGREE2015 TO 2022 Ca...,"['New Product Development', 'Quality Control Management', 'Fabrication', 'PRODUCTION', 'CATIA', 'NPD', 'VMC', 'PYTHON']",Few Hours Ago,N/A
Network Engineer,https://www.naukri.com/job-listings-network-engineer-pace-stock-broking-services-pvt-ltd-gurgaon-gurugram-0-to-3-years-010923500415,Pace Stock Broking Services,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,Engineering degree in Computer Science (preferred) or any other discipline with 0-3 yea...,"['Linux', 'Networking', 'Firmware', 'VLAN', 'CCNA', 'Troubleshooting', 'SSL', 'Technical support']",2 Days Ago,N/A
Engineer - Software & Application Development,https://www.naukri.com/job-listings-engineer-software-application-development-tata-communications-ltd-pune-0-to-4-years-010923500039,Tata Communications,0-4 Yrs,Not disclosed,Pune,We are looking for a great Java Spring Boot developer who is proficient with Spring Boo...,"['Computer science', 'Automation', 'Front end', 'GIT', 'Linux', 'RDBMS', 'Coding', 'Debugging']",2 Days Ago,N/A
Hiring Freshers Desktop & Networking Engineer,https://www.naukri.com/job-listings-hiring-freshers-desktop-networking-engineer-o-a-compserve-jehanabad-katihar-kishanganj-motihari-jamui-kaimur-bhabua-khagaria-gaya-gopalganj-0-to-0-years-070722003186,O A Compserve,0-0 Yrs,2.5-3 Lacs PA,"Jehanabad, Katihar, Kishanganj, Motihari, Jamui, Kaimur (Bhabua), Khagaria, Gaya, Gopalganj",Required Trainee BCA B.tech MCA BE only FreshersOnly WhatsApp your resume @ Windows Ser...,"['b tech fresher', 'bca', 'be', 'Processor', 'mca', 'HTML', 'java', 'Computer']",2 Days Ago,N/A
Exciting Opportunity For Freshers in BBSR For Data Entry Operator,https://www.naukri.com/job-listings-exciting-opportunity-for-freshers-in-bbsr-for-data-entry-operator-2coms-bhubaneswar-bhubaneswar-0-to-5-years-020923903751,2coms,0-5 Yrs,"50,000-2 Lacs PA","Bhubaneswar, Bhubaneswar",Night Shift Only Male candidates are preferable. . Benefits Under graduate & graduates ...,"['Data entry', 'Data', 'Data entry operation', 'Operating']",1 Day Ago,N/A
Data Entry Operator(bhubaneswar),https://www.naukri.com/job-listings-data-entry-operator-bhubaneswar-2coms-bhubaneswar-bhubaneswar-0-to-5-years-010923905848,2coms,0-5 Yrs,"50,000-2 Lacs PA","Bhubaneswar, Bhubaneswar",Candidate must be comfortable for Night Shift (10pm-7am)Candidate must be comfortable f...,"['Data Entry Operator', 'Operating', 'Data entry operation', 'Data', 'Data entry']",2 Days Ago,N/A
"Software Testing Trainee, Software Tester, Software Test Engineer",https://www.naukri.com/job-listings-software-testing-trainee-software-tester-software-test-engineer-quickxpert-infotech-mumbai-suburban-maharashtra-thane-navi-mumbai-maharashtra-kalyan-dombivli-maharashtra-mumbai-all-areas-0-to-5-years-021020000649,Quickxpert Infotech,0-5 Yrs,Not disclosed,"Mumbai Suburban, Maharashtra, Thane, Navi Mumbai, Maharashtra, Kalyan/ Dombivli, Maharashtra, Mumbai (All Areas)",Our client MarriageOnix is looking for Software Tester. Interested candidates can apply...,"['Software Testing', 'Software Tester', 'Software Testing Trainee', 'bsc it', 'testing', 'Electronics Engineering', 'Software Test Engineer', 'Electronics']",3 Days Ago,N/A
Network Operations Engineer(network Engineer) - Freshers,https://www.naukri.com/job-listings-network-operations-engineer-network-engineer-freshers-randstad-bangalore-bengaluru-0-to-1-years-250822001094,Randstad,0-1 Yrs,5-5.5 Lacs PA,Bangalore/Bengaluru(Domlur),Job description: . Any Education qualification (2018-2022) passout . work from office ....,"['networking', 'Linux', 'ccnp', 'CCNA', 'Operations', 'Network operations', 'Network engineering']",Today,N/A
Trainee Engineer (hospet),https://www.naukri.com/job-listings-trainee-engineer-hospet-2coms-bangalore-bengaluru-hospet-0-to-5-years-020923906390,2coms,0-5 Yrs,"50,000-3 Lacs PA","Bangalore/Bengaluru, Hospet",We are hiring for Diversity apprenticeship Trainee Engineer who will be responsible for...,"['Trainee Engineer', 'Training']",1 Day Ago,N/A
Fresher Trainee Engineer Diploma - Tumkur (karnataka),https://www.naukri.com/job-listings-fresher-trainee-engineer-diploma-tumkur-karnataka-2coms-bangalore-bengaluru-tumkur-0-to-5-years-010923906591,2coms,0-5 Yrs,"50,000-2 Lacs PA","Bangalore/Bengaluru, Tumkur",. Should have an ITI degree in (Chemical Engineering / Mechanical Engineering / Electri...,"['Trainee Engineer Diploma', 'Training']",2 Days Ago,N/A
Business Analyst,https://www.naukri.com/job-listings-business-analyst-kuddle-bangalore-bengaluru-0-to-3-years-020923000061,Kuddle,0-3 Yrs,6-9 Lacs PA,Bangalore/Bengaluru,"Requirements: . Proficiency in SQL, Python and spreadsheet toolsKnowledge of Google ana...","['SQL', 'Python', 'Google Sheets', 'Google Data Studio', 'Excel', 'Data Visualization', 'Google Cloud Services', 'Cloud']",1 Day Ago,N/A
Data Engineer,https://www.naukri.com/job-listings-data-engineer-imagegrafix-engineering-services-iges-chennai-tamil-nadu-0-to-2-years-010923006858,ImageGrafix Engineering Services (IGES),0-2 Yrs,Not disclosed,"Chennai, Tamil Nadu",Role & responsibilities Conversion of PDF File into excel formatPreferred candidate pro...,"['Excel', 'MS Office', 'MS ExcelWork', 'tableau', 'Office', 'Microsoft', 'Data', 'Data Engineering']",2 Days Ago,N/A
Training & Hiring For Full Stack Developer,https://www.naukri.com/job-listings-training-hiring-for-full-stack-developer-bbt-toppers-technologies-chennai-tamil-nadu-0-to-0-years-020923003470,BBT Toppers Technologies,0-0 Yrs,2-4.5 Lacs PA,"Chennai, Tamil Nadu","We are providing Training and placements in BBT TOPPERS TECHNOLOGIES , Chennai.Java ful...","['Java', 'fullstack development', 'CSS', 'Networking', 'testing', 'Web Application Development', 'HTML', 'Java Fullstack']",1 Day Ago,N/A
Software Quality Assurance Engineering Intern,https://www.naukri.com/job-listings-software-quality-assurance-engineering-intern-oyelabs-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-1-years-010923500540,Oyelabs,N/A,"10,000/month","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",N/A,[''],Starts in 1-3 months,6 months duration
Inside Sales Executive/It Sales/SaaS Sales/Software Sales,https://www.naukri.com/job-listings-inside-sales-executive-it-sales-saas-sales-software-sales-valuestream-business-solutions-vbs-bangalore-bengaluru-0-to-3-years-020923004276,Valuestream Business Solutions (VBS),N/A,1-5 Lacs PA,Bangalore/Bengaluru(Marathahalli),Technical Graduate background Must Tech-savvy and Proficient with MS Office Tools (Exce...,"['B2C Sales', 'Inside Sales', 'Saas Sales', 'Software Sales', 'IT Sales', 'Edtech', 'Sales', 'B2C']",1 Day Ago,N/A
Stem Instructor,https://www.naukri.com/job-listings-stem-instructor-ace-creative-learning-bangalore-rural-karnataka-bangalore-bengaluru-0-to-5-years-310823006488,Ace Creative Learning,0-5 Yrs,Not disclosed,"Bangalore Rural, Karnataka, Bangalore/Bengaluru",Experience: 1 to 5 years of experience. . Qualification: Any Graduate with Experience i...,"['ATL Labs Trainer', 'STEM Lab Teacher', 'STEM Lab Trainer', 'ATL Tinkering Instructor', 'STEM Instructor', 'Rasberry Pi', 'Ardino', 'Tinkerning']",3 Days Ago,N/A
Electrical Engineer Fresher | Trainee | Graduate Engineer,https://www.naukri.com/job-listings-electrical-engineer-fresher-trainee-graduate-engineer-m-s-indicomet-geoscience-hyderabad-secunderabad-bangalore-bengaluru-delhi-ncr-0-to-0-years-190723010174,M/S Indicomet Geoscience,0-0 Yrs,2.25-3.75 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",We are seeking a passionate & creative Trainee - Electrical Engineer Fresher for one of...,"['EEE', 'B.Tech', 'electric vehicle', 'Fresher', 'Electrical Engineering', 'EE', 'Electrical Maintenance', 'PCB Designing']",2 Days Ago,N/A
Search Engine Engineer-Bangalore and Mysore-DoP,https://www.naukri.com/job-listings-search-engine-engineer-bangalore-and-mysore-dop-national-institute-for-smart-government-nisg-mysore-mysuru-karnataka-bangalore-bengaluru-0-to-5-years-010923007496,National Institute for Smart Government (NISG),0-5 Yrs,Not disclosed,"Mysore/ Mysuru, Karnataka, Bangalore/Bengaluru",5 years of demonstrated experience in any one Search Engine prefable is Apache Solr Det...,"['Apache Solr', 'Searching', 'Solr', 'Apache', 'Engine', 'Search engine']",2 Days Ago,N/A
Junior Project Executive (Engineer),https://www.naukri.com/job-listings-junior-project-executive-engineer-india-optel-limited-dehradun-uttarakhand-0-to-0-years-010923006078,India Optel Limited,0-0 Yrs,5.5-6 Lacs PA,"Dehradun, Uttarakhand",Applicants are requested to forward the application only as per detailed advertisementC...,"['deciphering electrical and electronic circuits', 'handling of electronic components', 'programming', 'Handling', 'Electronic components', 'Components', 'Electricals', 'Circuits']",2 Days Ago,N/A
Data Entry Operator (Female),https://www.naukri.com/job-listings-data-entry-operator-female-universal-agency-erode-tamil-nadu-0-to-2-years-310823006057,Universal Agency,0-2 Yrs,1.25-1.5 Lacs PA,"Erode, Tamil Nadu",Job Description:* Candidate should have good numerical ability and quickly responsive* ...,"['Data Entry', 'data entry operation', 'excel', 'computer operating', 'accounting', 'accounting entries', 'Computer', 'Data']",3 Days Ago,N/A
Software Engineer Intern Frontend (React Native),https://www.naukri.com/job-listings-software-engineer-intern-frontend-react-native-impact-analytics-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-2-years-310823501609,Impact Analytics,N/A,Unpaid,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",N/A,[''],Starts in 1-3 months,No fixed duration
Software Development Engineer in Test I,https://www.naukri.com/job-listings-software-development-engineer-in-test-i-unicard-technologies-pvt-ltd-bangalore-bengaluru-0-to-2-years-310823500152,Unicard Technologies,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,". Proficient in computer operating systems suchas Mac, Linux, and Windows . Troubleshoo...","['Administration Manager', 'endpoint security', 'Linux', 'Operating systems', 'Networking', 'Windows', 'WiFi', 'Troubleshooting']",3 Days Ago,N/A
Project Engineer ( Mechanical/Electrical ),https://www.naukri.com/job-listings-project-engineer-mechanical-electrical-delhivery-bhiwandi-maharashtra-gurgaon-gurugram-haryana-0-to-5-years-250723007222,Delhivery,0-5 Yrs,Not disclosed,"Bhiwandi, Maharashtra, Gurgaon/ Gurugram, Haryana",Role & responsibilities: - Looking after PAN India automation equipment including Sorte...,"['Automation', 'Automation Systems', 'Predictive Maintenance', 'Preventive Maintenance', 'machine support', 'Machine Maintenance', 'Mechanical Engineering', 'engineering']",2 Days Ago,N/A
Walk in Drive For Freshers 2023 - Non Engineering Graduates,https://www.naukri.com/job-listings-walk-in-drive-for-freshers-2023-non-engineering-graduates-hcltech-chennai-0-to-0-years-200823001333,HCLTech,N/A,Not disclosed,Chennai(Sholinganallur),"Openness to work flexible hours as required, including night shiftsSHIFT TIMINGS: Night...","['Freshers', 'Procurements', 'procurement', 'customer service', 'Supply Chain Management', 'scm', 'communication skills', 'Supply chain']",1 Day Ago,N/A
Diploma Engineer Trainee,https://www.naukri.com/job-listings-diploma-engineer-trainee-schindler-chennai-0-to-2-years-071022016058,Schindler,0-2 Yrs,Not disclosed,Chennai,- Propose sale of spare parts as and when situation demands. . - Co-ordinate with the F...,"['Service Maintenance', 'Service Engineering', 'Maintenance Engineering', 'Customer Engineering', 'maintenance', 'Training', 'Engineering', 'Servicing']",2 Days Ago,N/A
Trainee Engineer (shendra),https://www.naukri.com/job-listings-trainee-engineer-shendra-2coms-aurangabad-aurangabad-0-to-5-years-020923906387,2coms,0-5 Yrs,Not disclosed,"Aurangabad, Aurangabad",Looking for Female Candidate who is graduated in ChemicalEngineering / Electrical Engin...,"['Fresher', 'Training']",1 Day Ago,N/A
Trainee Engineer (bhilai),https://www.naukri.com/job-listings-trainee-engineer-bhilai-2coms-jamshedpur-arang-0-to-5-years-020923903312,2coms,0-5 Yrs,"90,000-3 Lacs PA","Jamshedpur, Arang",Looking for Female Candidate who is graduated in ChemicalEngineering / Electrical Engin...,"['Trainee Engineer', 'Training']",1 Day Ago,N/A
Hiring Trainee Engineer(female ) - Coimbatore,https://www.naukri.com/job-listings-hiring-trainee-engineer-female-coimbatore-2coms-coimbatore-coimbatore-south-0-to-5-years-020923903237,2coms,0-5 Yrs,"50,000-2 Lacs PA","Coimbatore, Coimbatore South",We are hiring fresher females for a leading multinational transportation manufacturing ...,"['Quality', 'Production', 'Assembly', 'Training', 'Hiring']",1 Day Ago,N/A
Fresher Trainee Engineer - Bhadrachalam (telangana),https://www.naukri.com/job-listings-fresher-trainee-engineer-bhadrachalam-telangana-2coms-nizamabad-bhadrachalam-0-to-5-years-010923904135,2coms,0-5 Yrs,"50,000-3 Lacs PA","Nizamabad, Bhadrachalam",Looking for Female Candidate who is graduated in Chemical Engineering / Mechanical Engi...,"['trainee engineer', 'Training']",2 Days Ago,N/A
Associate Engineer,https://www.naukri.com/job-listings-associate-engineer-m-s-orange-business-services-gurgaon-gurugram-0-to-3-years-010923501774,Orange Business Services,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,"Must have experience in Software development / test management tools : JIRA / XRay, Con...","['Maven', 'Postgresql', 'Test management', 'MySQL', 'Agile', 'Application development', 'Oracle', 'JIRA']",2 Days Ago,N/A
Supplier Quality Engineer (SQE - Mechanical Systems) - Rolling Stock,https://www.naukri.com/job-listings-supplier-quality-engineer-sqe-mechanical-systems-rolling-stock-siemens-limited-gurgaon-gurugram-0-to-8-years-010923501696,Siemens,0-8 Yrs,Not disclosed,Gurgaon/Gurugram,. Graduatein Mechanical Engineering . Shouldhave at least 5-8 years experience in suppl...,"['Supply chain', 'Product quality', 'EHS', 'Automation', 'Quality systems', 'ASNT', 'Process improvement', 'HTML']",2 Days Ago,N/A
QA Engineer,https://www.naukri.com/job-listings-qa-engineer-adani-group-gurgaon-gurugram-haryana-0-to-2-years-010923003905,Adani Group,0-2 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana",Should have 1-2 years of experience on and around manual / functional testing Should be...,"['QA', 'QA Testing', 'Clickup', 'automation', 'Qa Manual', 'bugzilla', 'jira', 'Quality assurance']",2 Days Ago,N/A
Sr. Engineer - Technology Development Optimus Corporate IT,https://www.naukri.com/job-listings-sr-engineer-technology-development-optimus-corporate-it-tata-communications-ltd-chennai-0-to-4-years-010923500907,Tata Communications,0-4 Yrs,Not disclosed,Chennai,"Hands on SQL / Core Java Programming skills, Good experience in J2EE programming framew...","['Hibernate', 'Core Java', 'Automation', 'Tomcat', 'Web services', 'JBoss', 'XML', 'J2Ee']",2 Days Ago,N/A
Mechanical Production Engineer,https://www.naukri.com/job-listings-mechanical-production-engineer-trident-dispatch-hyderabad-secunderabad-jaipur-0-to-1-years-310823903433,Trident Dispatch,0-1 Yrs,Not disclosed,"Hyderabad/Secunderabad, Jaipur",• Operate production line.• Assemble goods on production department.• Sorting & packagi...,"['Production Engineering', 'Mechanical', 'Operations', 'goods production', 'Production', 'Engineering']",3 Days Ago,N/A
EXECUTIVE I - PLANT ENGINEERING KASNA,https://www.naukri.com/job-listings-executive-i-plant-engineering-kasna-asian-paints-limited-greater-noida-0-to-3-years-310823006103,Asian Paints,0-3 Yrs,Not disclosed,Greater Noida,Description: Ensuring the smooth Procurement process of Engineering Spares & Consumable...,"['planning engineering', 'inventory control', 'project management', 'sap', 'production', 'project scheduling', 'ms project', 'costing']",3 Days Ago,N/A
"Sales & Service Engineer (Male Only)- Hyd, UP & Ahmedabad Locations",https://www.naukri.com/job-listings-sales-service-engineer-male-only-hyd-up-ahmedabad-locations-elico-healthcare-services-lucknow-uttar-pradesh-0-to-1-years-050419008824,Elico Healthcare Services,N/A,Not disclosed,"Lucknow, Uttar Pradesh","Experience: Fresher OnlyDiploma(ECE / EIE) only, no B Tech. Should have decent communic...","['service engineering', 'ECE', 'EEE', 'sales&services', 'manufacturing', 'Electronics', 'electrical', 'instrumentation']",Just Now,N/A
