Title,Reference,Company,Experience,Salary,Location,Job Description,Skills Required,Posted Date,Duration
Content Developer (Aptitude and Programming)_Intern,https://www.naukri.com/job-listings-content-developer-aptitude-and-programming-intern-nxtwave-hyderabad-secunderabad-telangana-0-to-1-years-060723008749,NxtWave,0-1 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana","Giving guidance to people. Stipend: 15k to 25k, based on the performance. Internship Pe...","['Programming And Apptitude', 'Java', 'Web Technologies', 'Aptitude and Training', 'Python', 'SQL', 'Program', 'Development']",1 Day Ago,N/A
Big Data Engineer,https://www.naukri.com/job-listings-big-data-engineer-prishatech-india-opc-mumbai-all-areas-0-to-2-years-310823003601,Prishatech India Opc,0-2 Yrs,Not disclosed,Mumbai (All Areas)(Bandra Kurla Complex),Great Opportunity For Freshers In IT Domain!!!!! Position:- Big Data Fresher Location:-...,"['Hadoop', 'Big Data', 'Hive', 'SCALA', 'Spark', 'Python', 'Data']",3 Days Ago,N/A
Data Scientist,https://www.naukri.com/job-listings-data-scientist-yulu-bike-bangalore-bengaluru-0-to-2-years-310823500849,Yulu Bikes,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,Solving problems using statistical programming languages like Python / R to draw insigh...,"['Mining', 'Supply chain', 'Statistical programming', 'Data analysis', 'Machine learning', 'Data collection', 'Forecasting', 'Operations']",3 Days Ago,N/A
Device Driver Developer - Fresher,https://www.naukri.com/job-listings-device-driver-developer-fresher-option-matrix-hyderabad-secunderabad-0-to-1-years-310823008559,Option Matrix,0-1 Yrs,5-6 Lacs PA,Hyderabad/Secunderabad,"Preferably PCIe / CXL/NVMe, for Linux / WindowsWe are looking for 10 device driver deve...","['Device Driver Development', 'Linux Kernel Programming', 'C++', 'ARM', 'Python', 'Development', 'Devices', 'Drives']",3 Days Ago,N/A
ESS System Simulation & Analysis engineer,https://www.naukri.com/job-listings-ess-system-simulation-analysis-engineer-kgisl-bangalore-bengaluru-0-to-3-years-310823500077,KG Information Systems (KGISL),0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Within the simulation team you will gather needs from simulation users and lead discuss...,"['model validation', 'Simulation', 'Thermal engineering', 'Analytical', 'thermal', 'Simulink', 'Customer experience', 'MATLAB']",3 Days Ago,N/A
Salesforce CPQ Technical Lead/Senior Developer,https://www.naukri.com/job-listings-salesforce-cpq-technical-lead-senior-developer-ness-digital-engineering-nagpur-0-to-3-years-030923002197,Ness,0-3 Yrs,Not disclosed,Nagpur,"Bachelors degree in Computer Science. ., Information Technology, or a related field - 5...","['lightning', 'execution', 'visualforce', 'rest', 'development', 'salesforce platform', 'cpq', 'customization']",Few Hours Ago,N/A
Diagnostic engineer and Test developer,https://www.naukri.com/job-listings-diagnostic-engineer-and-test-developer-kgisl-bangalore-bengaluru-0-to-3-years-310823500094,KG Information Systems (KGISL),0-3 Yrs,Not disclosed,Bangalore/Bengaluru,The position holder will be responsible for developing test operations/assembly verific...,"['Product quality', 'Diagnostics', 'Production engineering', 'Manufacturing quality', 'Electronics', 'Manager Quality Control', 'Management', 'Automotive']",3 Days Ago,N/A
Sr Java C++ Backend Developer,https://www.naukri.com/job-listings-sr-java-c-backend-developer-ness-digital-engineering-mumbai-0-to-3-years-310823006162,Ness,0-3 Yrs,Not disclosed,Mumbai,"Preferred Qualifications :.- Masters degree in Computer Science, Computer Engineering o...","['c++', 'hibernate', 'sql', 'spring', 'coding', 'java', 'design patterns', 'oops']",3 Days Ago,N/A
"Web Designer, Web Developer, Web Developer Trainee",https://www.naukri.com/job-listings-web-designer-web-developer-web-developer-trainee-quickxpert-infotech-mumbai-thane-pune-0-to-5-years-110920000019,Quickxpert Infotech,0-5 Yrs,"80,000-2.75 Lacs PA","Mumbai, Thane, Pune",We have immediate opening for web developer trainees with our clients. Interested candi...,"['Web Designer', 'bootstrap', 'PHP', 'css', 'C++', 'C', 'PHP Trainee', 'html5']",Today,N/A
"Web Developer, Web Desinging",https://www.naukri.com/job-listings-web-developer-web-desinging-quickxpert-infotech-mumbai-suburban-maharashtra-thane-navi-mumbai-kalyan-dombivli-maharashtra-mumbai-all-areas-0-to-5-years-010922000164,Quickxpert Infotech,0-5 Yrs,Not disclosed,"Mumbai Suburban, Maharashtra, Thane, Navi Mumbai, Kalyan/ Dombivli, Maharashtra, Mumbai (All Areas)",Our Client is looking for Web Developers. Intersted candidates can apply on Naukri. Don...,"['CSS', 'HTML', 'Web Designing', 'Web Development', 'MySQL', 'Javascript', 'PHP', 'JQuery']",Today,N/A
